id_card,academic_year_id,to_pay,pay_1_no,pay_1,pay_2_no,pay_2,pay_3_no,pay_3,sport_no,sport
e20130814,2014,550,662,275,,,,,,
e20130211,2014,550,606,275,3527,275,,,,
e20130299,2014,550,105,275,3588,275,,,,
e20130796,2014,400,232,200,4028,200,,,,
e20130304,2014,550,169,275,3595,275,,,,
e20130405,2014,0,,,,,,,,
e20130620,2014,550,807,275,4232,275,,,,
e20131178,2014,300,1271,150,1278,150,,,,
e20130570,2014,550,41,275,3834,275,,,,
e20130845,2014,550,838,275,4598,275,,,,
e20130547,2014,275,533,275,,,,,,
e20130785,2014,550,329,275,4051,275,,,,
e20130849,2014,550,472,275,4432,275,,,,
e20130801,2014,400,712,400,,,,,,
,2014,200,5901,200,,,,,,
e20130409,2014,400,848,400,,,,,,
e20130933,2014,550,532,275,,,,,,
e20131182,2014,0,688,0,3898,0,,,,
e20130138,2014,550,422,275,4359,275,,,,
e20130571,2014,550,342,275,4229,275,,,,
e20120784,2014,500,2643,250,4306,250,,,,
e20130307,2014,0,66,,,,,,,
,2014,125,2939,125,,,,,,
,2014,200,1994,200,,,,,,
,2014,225,1976,225,,,,,,
,2014,100,2439,100,,,,,,
,2014,450,5,225,16,225,,,,
,2014,200,1461,100,4096,100,,,,
,2014,450,3579,100,5364,350,,,,
,2014,300,2243,150,5070,150,,,,
,2014,550,102,275,3177,275,,,,
,2014,300,2254,250,5487,50,,,,
,2014,100,1619,50,5657,50,,,,
,2014,250,2246,250,,,,,,
,2014,450,2351,225,4740,225,,,,
,2014,200,2896,100,3639,100,,,,
,2014,100,3783,100,,,,,,
,2014,250,2671,250,,,,,,
